SCHOOL,State,State (full),Latitude,Longitude,SCHOOLKEY,SEASON,SCHOOLDIVISION,SCHOOLCONFERENCEABBR,Phils/Brewers List,Dummy
Albertus Magnus College,CT,CONNECTICUT,41.332519,-72.923848,22,2019,3,Great Northeast Athletic Conference,,1
Albion College,MI,MICHIGAN,42.244603,-84.746088,23,2019,3,Michigan Intercollegiate Athletic Association,,1
Albright College,PA,PENNSYLVANIA,40.361351,-75.909742,24,2019,3,Commonwealth Conference,,1
Albuquerque Academy (NM),NM,NEW MEXICO,35.15178,-106.56028,,2019,HS,NM,X,1
Alcoa High School (TN),TN,TENNESSEE,35.79151,-83.97997,,2019,HS,TN,X,1
Alcorn State University,MS,MISSISSIPPI,31.8772,-91.1429,25,2019,1,Southwestern Athletic Conference,X,1
Alderson Broaddus University,WV,WEST VIRGINIA,39.158067,-80.047728,"2,565",2019,,WV,,1
Alexander Academy,MA,MASSACHUSETTS,42.587705,-71.769406,"2,566",2019,,MA,,1
Alexander Paul Institute of Hair Design,NC,NORTH CAROLINA,35.604962,-77.371696,"2,567",2019,,NC,,1
Alexandria School of Scientific Therapeutics,IN,INDIANA,40.255464,-85.674191,"2,568",2019,,IN,,1
Alexandria Technical & Community College,MN,MINNESOTA,45.873107,-95.372369,"2,569",2019,,MN,,1
Alfred M. Barbe High School (LA),LA,LOUISIANA,30.17529,-93.25561,,2019,HS,LA,X,1
Alfred University,NY,NEW YORK,42.254476,-77.788106,"2,570",2019,,NY,,1
Algonquin Regional High School,MA,,,,26,2019,HS,MA,,1
Alhambra Beauty College,CA,CALIFORNIA,34.093916,-118.129041,"2,571",2019,,CA,,1
Alhambra High School,CA,,,,27,2019,HS,CA,,1
Alhambra Medical University,CA,CALIFORNIA,34.08023,-118.148671,"2,572",2019,,CA,,1
Alice Lloyd College,KY,KENTUCKY,37.335087,-82.875068,"2,573",2019,,KY,,1
Aliso Niguel High School (CA),CA,CALIFORNIA,33.56272,-117.71935,,2019,HS,CA,X,1
All Beauty College,AZ,ARIZONA,34.49606,-114.338235,"2,574",2019,,AZ,,1
All Hallows High School,NY,NEW YORK,40.830067,-73.922043,28,2019,HS,NY,X,1
All Saints Episcopal High School (TX),TX,TEXAS,32.73173,-97.49147,29,2019,HS,TX,X,1
All-State Career School-Allied Health Campus,PA,PENNSYLVANIA,39.866163,-75.302151,"2,575",2019,,PA,,1
All-State Career School-Lester,PA,PENNSYLVANIA,39.868236,-75.280691,"2,576",2019,,PA,,1
All-State Career School-Pittsburgh,PA,PENNSYLVANIA,40.358492,-79.93713,"2,577",2019,,PA,,1
All-State Career-Baltimore,MD,MARYLAND,39.264664,-76.544942,"2,578",2019,,MD,,1
Allan Hancock College,CA,CALIFORNIA,34.942979,-120.421486,30,2019,JC,California Community College Athletic Association,,1
Allatoona High School (GA),GA,GEORGIA,34.03546,-84.73579,,2019,HS,GA,X,1
Allegany College of Maryland,MD,MARYLAND,39.652658,-78.729766,"2,579",2019,,MD,,1
Allegheny College,PA,PENNSYLVANIA,41.648068,-80.146922,31,2019,3,North Coast Atlantic Conference,,1
Allegheny Wesleyan College,OH,OHIO,40.867236,-80.860091,"2,580",2019,,OH,,1
Allen College,IA,IOWA,42.531427,-92.338018,"2,581",2019,,IA,,1
Allen County Community College,KS,KANSAS,37.937698,-95.39681,"2,582",2019,,KS,X,1
Allen School-Brooklyn,NY,NEW YORK,40.693797,-73.991546,"2,583",2019,,NY,,1
Allen School-Jamaica,NY,NEW YORK,40.704694,-73.796295,"2,584",2019,,NY,,1
Allen School-Phoenix,AZ,ARIZONA,33.63024,-112.117101,"2,585",2019,,AZ,,1
Allen University,SC,SOUTH CAROLINA,34.010348,-81.020045,"2,586",2019,,SC,,1
